entry_time,exit_time,entry_price,exit_price,pnl,symbol,side,quantity
2023-01-06 10:30:00,2023-01-07 05:30:00,4792.35,4753.63,-38.72,ES,long,1
2023-01-07 10:30:00,2023-01-07 20:30:00,4797.53,4745.32,-52.21,ES,long,1
2023-01-08 13:30:00,2023-01-09 13:30:00,4819.21,4796.5,-22.71,ES,long,1
2023-01-11 10:30:00,2023-01-11 19:30:00,4820.98,4788.12,-32.86,ES,long,1
2023-01-13 10:30:00,2023-01-14 15:30:00,4750.54,4699.85,-50.69,ES,long,1
2023-01-15 13:30:00,2023-01-15 21:30:00,4705.23,4752.22,46.99,ES,long,1
2023-01-17 15:30:00,2023-01-17 17:30:00,4613.31,4585.15,-28.16,ES,long,1
2023-01-20 10:30:00,2023-01-21 05:30:00,4559.61,4533.28,-26.33,ES,long,1
2023-01-21 10:30:00,2023-01-21 17:30:00,4601.04,4564.81,-36.23,ES,long,1
2023-01-23 15:30:00,2023-01-23 17:30:00,4582.32,4566.97,-15.35,ES,long,1
2023-01-27 10:30:00,2023-01-28 12:30:00,4540.16,4525.88,-14.28,ES,long,1
2023-01-28 10:30:00,2023-01-29 08:30:00,4574.1,4610.45,36.35,ES,long,1
2023-01-31 10:30:00,2023-02-01 12:30:00,4604.74,4716.69,111.95,ES,long,1
2023-02-03 10:30:00,2023-02-03 22:30:00,4600.55,4676.35,75.8,ES,long,1
2023-02-05 10:30:00,2023-02-05 22:30:00,4656.25,4623.98,-32.27,ES,long,1
2023-02-07 12:30:00,2023-02-08 07:30:00,4663.79,4616.17,-47.62,ES,long,1
2023-02-09 10:30:00,2023-02-09 18:30:00,4700.12,4808.29,108.17,ES,long,1
2023-02-13 10:30:00,2023-02-13 18:30:00,4727.26,4655.49,-71.77,ES,long,1
2023-02-14 10:30:00,2023-02-15 06:30:00,4777.64,4853.9,76.26,ES,long,1
2023-02-16 10:30:00,2023-02-17 13:30:00,4770.94,4713.23,-57.71,ES,long,1
2023-02-19 10:30:00,2023-02-20 13:30:00,4787.26,4771.64,-15.62,ES,long,1
2023-02-23 10:30:00,2023-02-24 05:30:00,4789.69,4764.38,-25.31,ES,long,1
2023-02-24 10:30:00,2023-02-24 18:30:00,4791.64,4866.43,74.79,ES,long,1
2023-02-27 10:30:00,2023-02-28 03:30:00,4794.31,4863.15,68.84,ES,long,1
2023-03-02 10:30:00,2023-03-02 22:30:00,4732.43,4902.9,170.47,ES,long,1
2023-03-03 11:30:00,2023-03-04 07:30:00,4741.48,4926.61,185.13,ES,long,1
2023-03-06 10:30:00,2023-03-06 21:30:00,4752.12,4725.33,-26.79,ES,long,1
2023-03-09 10:30:00,2023-03-10 02:30:00,4781.68,4754.08,-27.6,ES,long,1
2023-03-11 09:30:00,2023-03-12 13:30:00,4785.9,4887.71,101.81,ES,long,1
2023-03-14 10:30:00,2023-03-14 15:30:00,4825.99,4867.48,41.49,ES,long,1
2023-03-17 10:30:00,2023-03-18 05:30:00,4824.3,4752.37,-71.93,ES,long,1
2023-03-18 10:30:00,2023-03-18 18:30:00,4745.05,4832.31,87.26,ES,long,1
2023-03-20 10:30:00,2023-03-20 21:30:00,4715.8,4680.43,-35.37,ES,long,1
2023-03-21 13:30:00,2023-03-21 22:30:00,4765.75,4710.5,-55.25,ES,long,1
2023-03-22 10:30:00,2023-03-23 02:30:00,4762.52,4721.27,-41.25,ES,long,1
2023-03-24 10:30:00,2023-03-25 04:30:00,4763.42,4846.95,83.53,ES,long,1
2023-03-27 10:30:00,2023-03-28 13:30:00,4814.19,4852.98,38.79,ES,long,1
2023-03-29 10:30:00,2023-03-30 14:30:00,4790.33,4841.2,50.87,ES,long,1
2023-03-31 10:30:00,2023-04-01 08:30:00,4849.05,4825.79,-23.26,ES,long,1
2023-04-03 10:30:00,2023-04-03 23:30:00,4820.66,4964.44,143.78,ES,long,1
2023-04-05 10:30:00,2023-04-06 13:30:00,4836.56,4782.34,-54.22,ES,long,1
2023-04-06 10:30:00,2023-04-07 04:30:00,4815.0,4750.17,-64.83,ES,long,1
2023-04-09 10:30:00,2023-04-10 01:30:00,4820.65,4786.08,-34.57,ES,long,1
2023-04-12 10:30:00,2023-04-12 13:30:00,4818.03,4923.61,105.58,ES,long,1
2023-04-15 10:30:00,2023-04-16 08:30:00,4801.37,4849.79,48.42,ES,long,1
2023-04-18 09:30:00,2023-04-19 11:30:00,4784.74,4753.84,-30.9,ES,long,1
2023-04-19 15:30:00,2023-04-19 17:30:00,4788.46,4898.82,110.36,ES,long,1
2023-04-23 10:30:00,2023-04-23 17:30:00,4769.75,4716.29,-53.46,ES,long,1
2023-04-24 11:30:00,2023-04-24 17:30:00,4767.24,4738.98,-28.26,ES,long,1
2023-04-26 10:30:00,2023-04-27 14:30:00,4805.24,4779.57,-25.67,ES,long,1
2023-04-27 10:30:00,2023-04-28 05:30:00,4841.25,4903.83,62.58,ES,long,1
2023-04-28 10:30:00,2023-04-29 10:30:00,4901.65,4855.29,-46.36,ES,long,1
2023-04-30 10:30:00,2023-04-30 21:30:00,4864.79,4893.66,28.87,ES,long,1
2023-05-01 13:30:00,2023-05-02 13:30:00,4785.59,4831.74,46.15,ES,long,1
2023-05-03 10:30:00,2023-05-03 15:30:00,4789.93,4752.11,-37.82,ES,long,1
2023-05-05 10:30:00,2023-05-06 04:30:00,4755.57,4694.27,-61.3,ES,long,1
2023-05-07 12:30:00,2023-05-08 08:30:00,4773.89,4732.21,-41.68,ES,long,1
2023-05-09 10:30:00,2023-05-09 21:30:00,4742.89,4725.03,-17.86,ES,long,1
2023-05-10 13:30:00,2023-05-10 19:30:00,4758.63,4928.39,169.76,ES,long,1
2023-05-11 10:30:00,2023-05-12 03:30:00,4758.08,4745.66,-12.42,ES,long,1
2023-05-14 10:30:00,2023-05-15 00:30:00,4789.22,4774.75,-14.47,ES,long,1
2023-05-17 10:30:00,2023-05-17 15:30:00,4836.33,4823.69,-12.64,ES,long,1
2023-05-19 10:30:00,2023-05-19 22:30:00,4763.06,4653.52,-109.54,ES,long,1
2023-05-22 10:30:00,2023-05-23 00:30:00,4767.72,4877.8,110.08,ES,long,1
2023-05-25 10:30:00,2023-05-25 20:30:00,4776.59,4807.95,31.36,ES,long,1
2023-05-27 10:30:00,2023-05-27 15:30:00,4810.23,4876.91,66.68,ES,long,1
2023-05-30 10:30:00,2023-05-30 19:30:00,4832.79,4908.69,75.9,ES,long,1
2023-06-02 10:30:00,2023-06-02 17:30:00,4830.36,4858.88,28.52,ES,long,1
2023-06-04 10:30:00,2023-06-05 07:30:00,4889.7,4950.15,60.45,ES,long,1
2023-06-06 10:30:00,2023-06-07 11:30:00,4790.39,4770.88,-19.51,ES,long,1
2023-06-07 10:30:00,2023-06-08 02:30:00,4752.0,4731.92,-20.08,ES,long,1
2023-06-10 09:30:00,2023-06-11 02:30:00,4767.56,4755.39,-12.17,ES,long,1
2023-06-13 10:30:00,2023-06-13 17:30:00,4755.57,4689.07,-66.5,ES,long,1
2023-06-15 09:30:00,2023-06-16 14:30:00,4793.31,4761.24,-32.07,ES,long,1
2023-06-17 10:30:00,2023-06-17 23:30:00,4786.52,4768.41,-18.11,ES,long,1
2023-06-19 10:30:00,2023-06-20 09:30:00,4810.67,4796.92,-13.75,ES,long,1
2023-06-21 10:30:00,2023-06-21 23:30:00,4875.24,4938.71,63.47,ES,long,1
2023-06-22 11:30:00,2023-06-22 23:30:00,4834.91,4820.9,-14.01,ES,long,1
2023-06-23 10:30:00,2023-06-24 11:30:00,4829.02,4810.39,-18.63,ES,long,1
2023-06-24 10:30:00,2023-06-25 09:30:00,4822.82,4785.19,-37.63,ES,long,1
